Winner,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_SUB_ATT,B_avg_SIG_STR_landed,B_avg_TD_landed,B_wins,B_losses,B_draw,B_Height_cms,B_Reach_cms,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_SUB_ATT,R_avg_SIG_STR_landed,R_avg_TD_landed,R_wins,R_losses,R_draw,R_Height_cms,R_Reach_cms,B_age,R_age
Red,0.4634375,0.475,0.5625,27.25,2.71875,3,3,0,172.72,170.18,0.485,0.375,0,22.5,1.5,1,1,0,172.72,167.64,28,32
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,200.66,183.3322081,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,182.88,190.5,28,26
Draw,0.6,0.165,0.5,27.75,0.5,1,2,0,180.34,195.58,0.425,0.5825,1,27.75,3.5,2,1,0,187.96,200.66,34,25
Red,0.497128296,0.031257629,0.00831604,35.86115265,0.031257629,14,4,0,190.5,195.58,0.550390625,0.468945313,0,88.296875,3.390625,7,2,0,193.04,203.2,36,33
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,172.72,183.3322081,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,177.8,185.42,26,23
Blue,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,182.88,180.34,0.375,0.5,0.5,28.5,0.5,0,2,0,177.8,183.5219184,25,32
Red,1,0,0,8,0,1,0,0,175.26,183.3322081,0.75,0.8,0,12,4,1,0,0,167.64,170.18,31,28
Blue,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,187.96,183.3322081,0.45,0,0,12.5,0,0,2,0,180.34,185.42,25,37
Blue,0.53,0.11,0,38,1,1,0,0,177.8,193.04,0.4425,0.5325,0,33.75,1.5,3,0,0,182.88,195.58,30,36
Blue,0.509414063,0.245078125,1.09375,37.7109375,1.97265625,6,3,0,182.88,187.96,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,175.26,180.34,31,34
Blue,0.459375,0.3475,0.5,52.0625,1.4375,4,1,0,180.34,182.88,0.529782715,0.029567871,0.031616211,23.95837402,0.192993164,10,4,0,187.96,198.12,36,31
Red,0.428613281,0.647949219,0.056640625,49.046875,5.220703125,8,2,0,177.8,182.88,0.477109375,0.046875,0.21875,39.1015625,0.0625,6,2,0,175.26,177.8,25,24
Red,0.558125,0.098125,0.796875,11.9375,0.515625,4,3,0,170.18,185.42,0.56953125,0.485625,0.668945313,46.72460938,2.698242188,8,3,0,167.64,167.64,32,29
Red,0.554853516,0.515195313,1.018554688,28.78515625,1.044921875,8,3,0,182.88,182.88,0.359873047,0.025283203,1.108398438,32.88867188,0.08203125,7,4,0,182.88,185.42,36,29
Red,0.36,0.25,2,39,1,0,1,0,182.88,187.96,0.375,0,0.25,57,0,2,1,0,185.42,187.96,27,30
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,182.88,183.3322081,0.46671875,0.0703125,0,10.921875,0.1953125,3,5,0,182.88,182.88,29.22285948,27
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,193.04,208.28,0.47375,0.2875,0.125,32.125,1.25,2,2,0,182.88,190.5,29,27
Blue,0.5775,0.11375,0.25,57.125,0.75,2,2,0,185.42,193.04,0.463359375,0.163125,0.1796875,32.8203125,0.375,8,0,0,185.42,187.96,28,31
Blue,0.451992188,0.2509375,0.03515625,87.05859375,0.6796875,7,2,0,175.26,180.34,0.41375,0.175,0.5,36.125,1.5,3,1,0,180.34,187.96,25,37
Red,0.539301758,0.250322266,0.137207031,65.79931641,0.502929688,7,5,0,177.8,182.88,0.491959229,0.27586937,1.018783569,66.82928467,0.892173767,13,5,0,175.26,182.88,30,28
Blue,0.368574219,0.147714844,0.9375,14.78710938,0.60546875,7,3,0,177.8,180.34,0.445062256,0.020263672,0.00012207,24.15161133,0.05871582,10,4,0,175.26,180.34,27,28
Red,0.418828125,0.1215625,0.1484375,35.28125,0.359375,6,2,0,182.88,182.88,0.526875,0.394375,0.3125,71.8125,2.625,5,0,0,182.88,193.04,35,30
Red,0.15,0.33,0,11,1,0,1,0,170.18,175.26,0.4,0.29,0,48,5,1,0,0,162.56,165.1,27,27
Red,0.505625,0.27875,1.5625,35.1875,0.875,4,1,0,187.96,185.42,0.430144935,0.167964287,0.413200021,31.60679805,0.314769678,20,14,0,172.72,180.34,26,36
Blue,0.4275,0.4075,0.25,30.25,2.5,1,2,0,172.72,175.26,0.253613281,0.102109375,1.11328125,36.5390625,0.859375,8,3,0,177.8,180.34,30,30
Red,0.4315625,0.3828125,0.234375,15.46875,0.515625,4,3,0,190.5,190.5,0.5565625,0.1484375,2.546875,12.46875,0.421875,4,3,0,190.5,203.2,33,33
Red,0.7009375,0.166875,0.9375,17.5625,1.28125,3,3,0,180.34,180.34,0.2390625,0.09390625,0.03125,12.546875,0.984375,5,2,0,187.96,187.96,36,28
Draw,0.47943512,0.331338196,1.127426147,118.5111542,2.469284058,11,6,0,177.8,177.8,0.474443359,0.034492188,0.034179688,51.10742188,0.1171875,8,3,0,177.8,182.88,35,28
Blue,0.375,0,0.5,70,0,0,2,0,167.64,177.8,0.26375,0.165,0.1875,27.5625,0.5,2,3,0,177.8,172.72,28,32
Red,0.581836319,0.375441895,0.094783783,32.44232559,2.350982666,13,6,0,185.42,190.5,0.3425,0.245,0.75,25.75,1.5,2,1,0,190.5,195.58,46,33
Red,0.3603125,0.3671875,0,20.5625,1.21875,4,2,0,180.34,187.96,0.694824219,0.3128125,0.072265625,49.12304688,2.9453125,8,2,0,182.88,187.96,22,33
Blue,0.5140625,0,0,17,0,3,3,0,187.96,190.5,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,185.42,185.42,30,29
Red,0.6,0.3,0,73,3,1,0,0,154.94,165.1,0.25,1,0,25,1,1,0,0,154.94,160.02,28,23
Blue,0.52921875,0.243125,0,35.609375,0.6875,6,1,0,182.88,190.5,0.48994812,0.607017822,0.250732422,72.37512207,6.521911621,12,3,0,175.26,175.26,32,32
Red,0.455,0.375,1,39.5,1.5,1,1,0,170.18,165.1,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,172.72,172.72,34,29
Red,0.45375,0.1459375,0.46875,5.578125,0.421875,4,3,0,185.42,187.96,0.455439453,0.250244141,0,20.11035156,0.250488281,11,2,0,187.96,193.04,29,35
Red,0,0,2,0,0,0,1,0,172.72,183.3322081,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,177.8,183.5219184,29,25
Red,0.641875,0.15625,2.0625,35.375,0.1875,4,1,0,182.88,190.5,0.5840625,0.4684375,0.734375,33.328125,5.609375,4,3,0,182.88,187.96,29,33
Red,0.45299018,0.293275199,0.466991685,33.76809563,1.127575526,0,0,0,185.42,195.58,0.455619268,0.295788642,0.4536331,34.72293911,1.166874569,0,0,0,198.12,200.66,25,23
