name,weight
Gunnar Nelson,170
Michel Prazeres,170
James Krause,170
Jesse Ronson,170
Kevin Lee,170
Claudio Silva,170
Warlley Alves,170
Jake Matthews,170
Dhiego Lima,170
Bryan Barberena,170
Alex Oliveira,170
Elizeu Zaleski Dos Santos,170
Nicolas Dalby,170
Lyman Good,170
Danny Roberts,170
Alex Morono,170
Randy Brown,170
Mickey Gall,170
Mike Jackson,170
Max Griffin,170
Niko Price,170
Ramazan Emeev,170
Song Kenan,170
David Zawada,170
Dwight Grant,170
Takashi Sato,170
Michel Pereira,170
Sergey Khandozhko,170
Miguel Baeza,170
Abubakar Nurmagomedov,170
Khaos Williams,170
Daniel Rodriguez,170
Gabriel Green,170
Jason Witt,170
Mounir Lazzez,170
Niklas Stolze,170
Matthew Semelsberger,170
Impa Kasanganay,170
Jordan Williams,170
Shavkat Rakhmonov,170
Ramiz Brahimaj,170
Sasha Palatnikov,170
Louis Cosce,170
Jared Gooden,170
Philip Rowe,170
Carlston Harris,170
Jeremiah Wells,170
Preston Parsons,170
Orion Cosce,170
Martin Sano Jr.,170
Benoit St.Denis,170
Ian Garry,170
Clay Guida,155
Joe Lauzon,155
Jeremy Stephens,155
Jim Miller,155
Michael Johnson,155
John Makdessi,155
Bobby Green,155
Al Iaquinta,155
Drew Dober,155
Vinc Pichel,155
Leonardo Santos,155
Alan Patrick,155
Sean Soriano,155
Renato Moicano,155
Magomed Mustafaev,155
Scott Holtzman,155
Joaquim Silva,155
Chris Gruetzemacher,155
David Teymur,155
Damir Hadzovic,155
Ricky Glenn,155
Marc Diakiese,155
Claudio Puelles,155
Drakkar Klose,155
Davi Ramos,155
Jared Gordon,155
Frank Camacho,155
Nasrat Haqparast,155
Matt Frevola,155
Alexander Hernandez,155
Christos Giagos,155
Luigi Vendramini,155
Devonte Smith,155
Thiago Moises,155
Jalin Turner,155
Damir Ismagulov,155
Grant Dawson,155
Alex Da Silva Coelho,155
Mike Davis,155
Austin Hubbard,155
Rodrigo Vargas,155
Fares Ziam,155
Mark Madsen,155
Jamie Mullarkey,155
Ottman Azaitar,155
Joe Solecki,155
Steve Garcia,155
Jai Herbert,155
Alexander Munoz,155
Mateusz Gamrot,155
Guram Kutateladze,155
