name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Takeshi Yamazaki,,15,12,3,172.72,,Southpaw,,,0.57,25,4.5,50,1
Johnny Walker,,21,7,0,198.12,208.28,Orthodox,3/30/1992,32,3.87,56,0.5,100,1
Nick Osipczak,,6,3,0,187.96,193.04,Orthodox,12/30/1984,39,2.83,50,1.2,45,1
Jonavin Webb,The Spyder,9,2,0,177.8,,Orthodox,4/28/1989,35,1.47,30,2.5,31,1
Brian Schwartz,,1,1,0,190.5,,Orthodox,,,1.27,44,0,0,1
Eddie Yagin,The Filipino Phenom,16,7,1,170.18,,Orthodox,3/23/1979,45,3.13,30,0,0,1
Karo Parisyan,The Heat,24,11,0,177.8,182.88,Orthodox,8/28/1982,42,2.49,41,5.27,59,1
Marco Tulio,Matuto,10,1,0,182.88,187.96,Orthodox,6/13/1994,30,3.2,48,2,25,1
Carlos Mota,Tizil,8,2,0,162.56,175.26,Orthodox,4/15/1995,29,0.8,41,0,0,1
Charles Rosa,Boston Strong,14,8,0,175.26,175.26,Switch,8/24/1986,38,3.08,36,1.67,35,1
Bobby Cooper,Super Duper,12,7,0,185.42,,,,,2.87,25,0,0,1
Nayara Maia,Capita,7,1,1,165.1,167.64,Orthodox,7/25/1990,34,0.6,36,1,33,1
Oscar Cota,Elevation,11,3,0,182.88,182.88,Orthodox,10/15/1984,40,0.33,41,0,0,1
Gabrielle Holloway,Gabanator,6,5,0,160.02,,,,,0.7,42,3,35,1
Erik Koch,Phoenix,16,6,0,177.8,180.34,Southpaw,10/4/1988,36,2.33,42,1.02,42,1
Anthony Rocco Martin,,17,6,0,182.88,185.42,Orthodox,12/11/1989,34,2.68,37,0.71,27,1
Gilbert Urbina,The RGV Bad Boy,7,3,0,190.5,190.5,Orthodox,4/5/1996,28,6.33,60,3.96,50,1
Sam Watford,,2,2,0,,,,,,0.13,18,2,40,1
Dylan Budka,The Mindless Hulk,7,2,0,182.88,190.5,Switch,1/14/2000,24,1.47,66,2,28,1
Kaleio Romero,KO,6,2,0,177.8,175.26,Switch,4/19/1996,28,2.6,48,1,8,1
Cameron Church,,4,1,0,180.34,182.88,Orthodox,9/27/1990,34,4,40,0,0,1
Anton Berzin,The Body Snatcher,5,1,0,187.96,,Orthodox,9/29/1989,35,4.4,46,2,28,1
Jason Gonzalez,Nicoya,11,5,0,187.96,187.96,Southpaw,2/28/1990,34,3.06,39,0,0,1
Manny Vazquez,,11,2,0,177.8,182.88,Orthodox,11/19/1993,30,1.47,41,1,33,1
Jeff Crotty,,1,1,0,,,,,,0.93,35,5,38,1
Sam Greco,,3,1,1,187.96,,Orthodox,5/3/1967,57,2.4,75,0,0,1
Ricco Rodriguez,Suave,53,25,0,193.04,,Orthodox,8/19/1977,47,1.85,51,2.3,39,1
Jay Hieron,The Thoroughbred,23,7,0,182.88,190.5,Orthodox,7/29/1976,48,1.66,32,4.05,60,1
Sung Bin Jo,Korean Falcon,9,1,0,182.88,182.88,Orthodox,7/17/1992,32,1.4,33,1,33,1
Art Arciniega,King Arthur,15,7,0,172.72,,,,,1.53,46,0,0,1
Isabela de Padua,Belinha,5,2,0,160.02,162.56,Orthodox,9/4/1991,33,1,35,2,66,1
Lucas Fernando,,9,2,0,190.5,203.2,,,,1.87,51,3,30,1
Rafael Silva,Morcego,28,6,0,170.18,,,,,0.67,50,0,0,1
Hyder Amil,The Hurricane,8,0,0,175.26,177.8,Switch,5/28/1990,34,1.73,52,0,0,1
Vaughan Lee,,14,13,1,167.64,167.64,Orthodox,10/15/1982,42,3.47,47,0.81,33,1
Ryan Healy,The Irish Assassin,25,14,1,185.42,,Orthodox,7/20/1983,41,1.67,35,3,50,1
Joao Zeferino,The Brazilian Samurai,21,9,0,180.34,,Orthodox,1/15/1986,38,0.83,36,0.5,5,1
Virna Jandiroba,Carcara,19,3,0,160.02,162.56,Orthodox,5/30/1988,36,2.34,40,2.42,39,1
Miles McDonald,,2,1,0,170.18,,,,,5.1,45,0,0,1
Korey Kuppe,,8,4,0,195.58,195.58,Switch,1/23/1989,35,0.73,73,0,0,1
Patrick Murphy,,5,3,0,182.88,,,,,3.4,66,0,0,1
Nick Diaz,,26,10,0,185.42,193.04,Southpaw,8/2/1983,41,5.71,42,1.28,32,1
Akitoshi Tamura,The Ironman,21,18,2,175.26,177.8,Orthodox,5/31/1980,44,3.73,43,0,0,1
Eric Schambari,,15,6,0,180.34,,Orthodox,4/22/1978,46,1.43,42,3,42,1
Markus Perez,Maluko,12,5,0,185.42,185.42,Orthodox,6/22/1988,36,2.6,47,0.81,25,1
Greg Soto,,9,4,0,180.34,185.42,Orthodox,6/3/1986,38,3.21,63,1.49,27,1
Mike French,,9,10,0,177.8,,,,,0.23,23,0,0,1
Karl Amoussou,The Psycho,27,7,2,180.34,,Orthodox,11/21/1985,38,1.47,34,0,0,1
Luke Rockhold,,16,6,0,190.5,195.58,Southpaw,10/17/1984,40,4.1,49,0.7,29,1
Brett Johns,The Pikey,17,2,0,170.18,180.34,Orthodox,2/21/1992,32,2.86,49,4.92,49,1
Rogerio Bontorin,,16,4,0,165.1,170.18,Orthodox,4/25/1992,32,2.63,52,2.9,60,1
Chris Mierzwiak,,5,3,0,185.42,,,,,1.6,61,2,28,1
Sergei Kharitonov,,26,6,0,182.88,,Orthodox,8/18/1980,44,3.9,44,1.16,53,1
Emil Meek,Valhalla,9,5,1,180.34,187.96,Switch,8/20/1988,36,2.52,39,0.25,33,1
Yoshihiro Akiyama,,14,6,0,177.8,190.5,Orthodox,7/29/1975,49,3.1,41,2.29,67,1
Saul Elizondo,,6,8,0,170.18,,,,,2.07,30,2,100,1
Islam Makhachev,,25,1,0,177.8,177.8,Southpaw,10/27/1991,33,2.46,60,3.17,60,1
Luis Henrique,KLB,10,5,0,187.96,187.96,Orthodox,8/21/1993,31,1.81,43,3.09,36,1
Ben Nguyen,Ten,16,8,0,165.1,165.1,Switch,8/3/1988,36,3.51,40,0.25,33,1
Marilia Santos,Chocolate,10,3,0,162.56,,Orthodox,12/12/1992,31,4.4,54,1,100,1
James Hammortree,The Sledge,6,3,0,190.5,,Orthodox,11/29/1983,40,1.93,30,2,50,1
Michael Chiesa,Maverick,18,7,0,185.42,190.5,Southpaw,12/7/1987,36,1.87,40,3.33,50,1
Cole Province,,6,2,0,175.26,172.72,Orthodox,1/17/1981,43,1.47,44,2.4,50,1
Ivan Menjivar,The Pride of El Salvador,25,12,0,167.64,162.56,Orthodox,5/30/1982,42,2.78,37,0.56,28,1
Joe Duarte,,10,4,0,,,,,,2.27,38,3,50,1
Chris de la Rocha,,5,3,0,190.5,203.2,Orthodox,5/15/1979,45,4.08,45,2.02,30,1
Justin Edwards,Fast Eddy,9,5,0,177.8,177.8,Orthodox,1/26/1983,41,2.68,42,2.14,26,1
DeAnna Bennett,The Argentine Assassin,8,3,1,162.56,172.72,Orthodox,11/18/1984,39,3.13,58,0,0,1
Mu Bae Choi,,12,6,0,187.96,,Orthodox,6/27/1970,54,1.55,49,3.12,75,1
Connor Matthews,The Controller,7,1,0,172.72,180.34,Switch,5/31/1992,32,5.13,44,3.5,58,1
Chalid Arrab,Die Faust,7,3,0,180.34,,Orthodox,5/28/1975,49,1.56,34,3.05,75,1
Lemont Davis,,2,6,0,172.72,,Orthodox,,,0.87,54,1,50,1
Gilbert Yvel,The Hurricane,39,16,1,187.96,195.58,Orthodox,6/30/1976,48,1.05,47,0,0,1
Vitor Petrino,,10,0,0,187.96,195.58,Orthodox,8/28/1997,27,3.07,48,4.15,70,1
Richie Vaculik,Vas,10,4,0,167.64,175.26,Orthodox,6/19/1983,41,3.69,46,3,45,1
Demian Maia,,28,11,0,185.42,182.88,Southpaw,11/6/1977,46,1.8,43,2.49,24,1
Phil Caracappa,The Hitman,6,1,0,172.72,177.8,Orthodox,6/5/1992,32,2.93,50,1,8,1
Denis Stojnic,,13,3,0,182.88,,Orthodox,2/2/1980,44,1.51,23,0,0,1
Mike Rio,The Wolverine,10,5,0,177.8,177.8,Orthodox,7/6/1981,43,1.68,39,2.58,27,1
Cameron Olson,Cap'n Crunch,7,3,0,185.42,190.5,Orthodox,11/22/1989,34,3.13,47,3,42,1
Dwight Joseph,,5,0,0,167.64,,Switch,8/16/1989,35,2.6,52,1,20,1
Alex Chambers,Astro Girl,5,5,0,160.02,160.02,Southpaw,10/25/1978,46,2.97,54,2.31,41,1
Magnus Cedenblad,Jycken,14,5,0,195.58,200.66,Orthodox,4/10/1982,42,2.38,51,2.87,64,1
Danny Sabatello,Italian Gangster,9,1,0,177.8,180.34,Orthodox,3/31/1993,31,2.07,57,3,75,1
Jon Tuck,Super Saiyan,10,5,0,180.34,185.42,Orthodox,8/28/1984,40,3,40,0.42,33,1
Stephan Bonnar,The American Psycho,15,9,0,193.04,200.66,Orthodox,4/4/1977,47,2.76,38,1.32,40,1
Ilima Macfarlane,,6,0,0,162.56,,,,,4.13,43,0,0,1
Eric Spicely,Zebrinha,12,6,0,185.42,185.42,Orthodox,9/29/1986,38,3.71,45,1.31,20,1
Chase Gormley,,14,6,0,190.5,,Orthodox,,,3.6,42,3.12,42,1
Paige VanZant,12 Gauge,8,5,0,162.56,165.1,Orthodox,3/26/1994,30,3.35,52,1.27,33,1
Bruno Assis,Brunao,8,4,0,187.96,,Orthodox,5/23/1992,32,1.27,43,2,50,1
Alexandre Pantoja,The Cannibal,26,5,0,165.1,170.18,Orthodox,4/16/1990,34,4.41,48,1.75,44,1
Krzysztof Soszynski,The Polish Experiment,26,12,1,185.42,195.58,Open Stance,8/2/1977,47,3.37,39,0.52,25,1
Leonardo Guimaraes,Leleco,11,5,0,182.88,,Orthodox,4/15/1982,42,2.35,56,0,0,1
Terrance McKinney,T. Wrecks,15,6,0,177.8,185.42,Switch,9/15/1994,30,4.46,52,3.52,36,1
Jordan Parsons,Pretty Boy,11,2,0,175.26,,,,,3.29,40,1.54,21,1
Rodney Wallace,Shonuff the Master,26,15,1,175.26,182.88,Switch,11/21/1981,42,1.13,46,6,54,1
Brad Imes,Hillbilly Heartthrob,13,7,0,200.66,,Orthodox,3/13/1977,47,2.73,31,1.72,71,1
David Heath,,18,7,0,180.34,182.88,Orthodox,2/10/1976,48,1.48,30,0.33,50,1
Alexandr Romanov,King Kong,17,2,0,187.96,190.5,Southpaw,12/11/1990,33,4.06,52,4.32,54,0.9
Allan Nascimento,Puro Osso,20,6,0,172.72,175.26,Orthodox,9/11/1991,33,3.21,61,1.55,26,0.9
Eliot Marshall,Fire,10,4,0,187.96,195.58,Orthodox,7/7/1980,44,1.93,27,0.47,33,0.9
Warlley Alves,,15,7,0,180.34,182.88,Orthodox,1/4/1991,33,3.25,48,1.35,50,0.9
Chris Horodecki,The Polish Hammer,21,7,1,175.26,175.26,Orthodox,9/24/1987,37,4.59,41,1.52,55,0.9
AJ Fletcher,The Ghost,10,3,0,177.8,170.18,Switch,2/18/1997,27,3.36,49,1.54,35,0.9
Tyson Pedro,,10,4,0,190.5,200.66,Orthodox,9/17/1991,33,3.11,61,0.94,36,0.9
Lerone Murphy,The Miracle,13,0,1,175.26,185.42,Orthodox,7/22/1991,33,3.65,50,1.29,46,0.9
Tagir Ulanbekov,,14,2,0,170.18,177.8,Southpaw,8/7/1991,33,3.35,44,3.81,42,0.9
Aisling Daly,Ais the Bash,16,6,0,157.48,162.56,Orthodox,12/24/1987,36,2.92,52,2.15,41,0.9
JeongYeong Lee,Korean Tiger,10,1,0,177.8,185.42,Orthodox,11/13/1995,28,2.39,47,0,0,0.9
Seth Dikun,,9,8,0,177.8,175.26,Orthodox,8/5/1980,44,1.45,26,0,0,0.9
Ben Askren,Funky,19,2,0,180.34,185.42,Orthodox,7/18/1984,40,3.64,49,4.33,55,0.9
Beneil Dariush,,22,6,1,177.8,182.88,Southpaw,5/6/1989,35,3.78,48,1.9,34,0.9
Luiz Firmino,Buscape,19,8,0,167.64,,Orthodox,3/18/1982,42,1.23,50,3.86,45,0.9
Gillian Robertson,The Savage,12,8,0,165.1,160.02,Orthodox,5/17/1995,29,2.6,45,2.46,41,0.9
Pete Williams,El Duro,12,6,0,190.5,,Orthodox,7/10/1975,49,0.61,62,1.84,40,0.9
Rameau Thierry Sokoudjou,The African Assassin,18,18,0,177.8,198.12,Orthodox,4/18/1984,40,2.26,45,1.93,47,0.9
John Hathaway,The Hitman,17,2,0,185.42,190.5,Orthodox,7/23/1987,37,3.4,40,2.61,43,0.9
Cristiano Marcello,,13,6,0,175.26,182.88,Orthodox,12/3/1977,46,2.56,33,0.44,11,0.9
Antoni Hardonk,,8,6,0,193.04,198.12,Orthodox,2/5/1976,48,3.4,61,0,0,0.9
Matt Serra,The Terra,11,7,0,167.64,172.72,Orthodox,6/2/1974,50,1.98,39,2.05,20,0.9
Michael Chandler,Iron,23,8,0,172.72,180.34,Orthodox,4/24/1986,38,4.89,46,2.17,38,0.9
Eric Wisely,Little Lee,26,9,1,172.72,,Southpaw,7/25/1984,40,1.42,47,0,0,0.9
Pascal Krauss,Panzer,11,2,0,185.42,,Orthodox,4/19/1987,37,5.45,47,1.53,50,0.9
Alan Belcher,The Talent,18,8,0,187.96,190.5,Orthodox,4/24/1984,40,2.7,41,0.44,26,0.9
Tyson Griffin,,16,8,0,167.64,172.72,Orthodox,4/20/1984,40,3.71,41,1.87,46,0.9
Sam Sicilia,,15,8,0,172.72,170.18,Orthodox,2/1/1986,38,2.46,33,1.45,43,0.9
Ryan Gracie,,5,2,0,175.26,,Orthodox,8/14/1974,50,0.82,61,2.83,75,0.9
Damacio Page,The Angel of Death,19,10,0,167.64,167.64,Orthodox,9/30/1982,42,2.05,38,2.63,64,0.9
Aleksander Emelianenko,,23,7,0,198.12,,Orthodox,8/2/1981,43,2.75,41,2.32,72,0.9
Samy Schiavo,,10,6,0,172.72,,Orthodox,12/24/1975,48,1.68,34,0.94,50,0.9
Brodie Farber,,16,7,0,185.42,,Orthodox,7/5/1980,44,1.69,45,0.9,50,0.9
Pete Sell,Drago,10,7,0,180.34,190.5,Orthodox,8/5/1982,42,2.6,42,0.91,21,0.9
Jason Witt,The Vanilla Gorilla,19,9,0,177.8,177.8,Orthodox,11/7/1986,37,2.15,44,6.9,48,0.9
Garett Whiteley,Goodnight,7,3,0,182.88,182.88,Orthodox,12/13/1980,43,3.72,48,0,0,0.9
Maciej Jewtuszko,Irokez,12,3,0,182.88,,Southpaw,1/31/1981,43,2.29,45,0,0,0.9
Cyril Asker,Silverback,9,4,0,182.88,187.96,Orthodox,12/24/1985,38,3.35,39,4.41,62,0.9
Jumabieke Tuerxun,The Wild Wolf,19,4,1,170.18,,Orthodox,4/17/1986,38,1.6,28,0.47,11,0.9
Roosevelt Roberts,The Predator,12,5,0,187.96,185.42,Orthodox,2/11/1994,30,3.05,44,1.39,29,0.9
Maurice Smith,,12,14,0,187.96,,Orthodox,12/13/1961,62,0.41,46,0.89,50,0.9
Bryan Baker,The Beast,18,5,0,190.5,,Orthodox,10/13/1985,39,1.78,52,0.44,50,0.9
Glover Teixeira,,33,9,0,187.96,193.04,Orthodox,10/28/1979,45,3.73,49,2.11,33,0.9
Matheus Nicolau,,19,4,1,167.64,167.64,Orthodox,1/6/1993,31,3.66,53,1.48,45,0.9
James Krause,The,28,9,0,187.96,185.42,Orthodox,6/4/1986,38,4.79,49,0.96,18,0.9
Roger Narvaez,Silverback,8,3,0,190.5,,Southpaw,9/9/1983,41,2.12,37,0,0,0.9
Umar Nurmagomedov,,16,0,0,172.72,175.26,Orthodox,1/3/1996,28,4.85,70,4.28,45,0.9
Irina Alekseeva,Russian Ronda,5,2,0,172.72,170.18,Orthodox,6/27/1990,34,3.84,43,0.87,20,0.9
Chris Spang,The Kiss,6,3,0,187.96,,Orthodox,11/26/1987,36,1.83,36,0,0,0.9
Tony Ferguson,El Cucuy,26,9,0,180.34,193.04,Orthodox,2/12/1984,40,4.98,45,0.42,35,0.9
Carmelo Marrero,The Fury,16,6,0,182.88,185.42,Orthodox,1/26/1981,43,0.84,34,3.21,36,0.9
Roger Bowling,Relentless,12,6,0,175.26,172.72,Orthodox,12/5/1982,41,3.9,47,3.09,43,0.9
Ildemar Alcantara,Marajo,21,11,0,187.96,198.12,Orthodox,11/18/1982,41,1.93,38,2,68,0.9
Chase Beebe,,24,13,1,170.18,170.18,Orthodox,3/29/1985,39,2.17,38,2.49,42,0.9
Ricardo Lamas,The Bully,20,8,0,172.72,180.34,Orthodox,5/21/1982,42,3.13,47,1.84,33,0.9
Marlon Vera,Chito,21,8,1,172.72,177.8,Switch,12/2/1992,31,4.37,50,0.58,39,0.9
Alex Karalexis,The Assassin,10,6,0,172.72,167.64,Orthodox,9/20/1977,47,2.57,42,2.7,45,0.9
Curt Warburton,,13,6,0,182.88,185.42,Orthodox,,,2.13,42,2.35,50,0.9
Matt Frevola,The SteamRolla,11,4,1,175.26,180.34,Orthodox,6/11/1990,34,3.71,42,2.59,40,0.9
Blake Bilder,El Animal,8,1,1,172.72,172.72,Switch,7/12/1990,34,4.96,50,0.45,10,0.9
Tonya Evinger,Triple Threat,19,8,0,170.18,177.8,Orthodox,6/4/1981,43,1.16,42,0.93,30,0.9
Mike Wilkinson,The Warrior,9,4,0,170.18,167.64,Orthodox,9/15/1987,37,2.35,38,0.92,14,0.9
Diego Rivas,Pitbull,10,2,0,172.72,175.26,Orthodox,11/11/1991,32,1.37,40,1.79,60,0.9
Mark Hominick,The Machine,20,12,0,172.72,172.72,Orthodox,7/22/1982,42,4.08,42,0.25,66,0.9
Rick Story,The Horror,19,9,0,175.26,180.34,Southpaw,8/28/1984,40,3.8,41,2.53,48,0.9
Garreth McLellan,Soldier Boy,13,6,0,185.42,182.88,Southpaw,9/1/1982,42,3.56,54,1.15,22,0.9
Dave Jansen,,20,4,0,175.26,185.42,Orthodox,8/21/1979,45,2.94,33,2.79,28,0.9
Mariya Agapova,Demonslayer,10,4,0,167.64,172.72,Southpaw,4/7/1997,27,4.67,55,0.59,66,0.9
Alex Huddleston,The Shaved Gorilla,6,2,0,200.66,,,,,2.47,42,0,0,0.9
Tim Hague,The Trashing Machine,21,13,0,193.04,193.04,Orthodox,5/9/1983,41,2.79,47,1.72,33,0.9
Masanori Kanehara,,26,12,5,170.18,170.18,Orthodox,11/19/1982,41,1.88,49,1.44,50,0.9
Tatiana Suarez,,11,0,0,165.1,167.64,Southpaw,12/19/1990,33,4.27,63,6.2,61,0.9
Luigi Fioravanti,,26,15,0,172.72,177.8,Orthodox,1/22/1981,43,2.23,42,3.76,63,0.9
Carlos Newton,The Ronin,16,14,0,175.26,,Orthodox,8/17/1976,48,0.65,41,2.47,70,0.9
Danilo Marques,,11,4,0,198.12,195.58,Orthodox,12/26/1985,38,1.44,79,3.93,28,0.8
Renzo Gracie,,13,7,1,177.8,,Orthodox,3/11/1967,57,1.71,41,1.13,20,0.8
Stephanie Egger,,8,4,0,167.64,172.72,Orthodox,8/12/1988,36,1.93,53,3.04,40,0.8
Austin Springer,,12,4,0,172.72,180.34,Orthodox,5/12/1987,37,3.54,57,3.37,40,0.8
Iuri Alcantara,Marajo,35,10,0,175.26,180.34,Southpaw,8/4/1980,44,2.72,45,1.44,62,0.8
Da'Mon Blackshear,The Monster,14,6,1,177.8,182.88,Switch,8/12/1994,30,4.28,47,2.34,37,0.8
Spencer Fisher,The King,24,9,0,170.18,172.72,Southpaw,5/9/1976,48,3.17,43,0.67,30,0.8
Kurt Pellegrino,Batman,16,7,0,172.72,177.8,Orthodox,5/7/1979,45,2.45,43,2.9,54,0.8
Trey Ogden,Samurai Ghost,16,6,0,180.34,182.88,Orthodox,11/14/1989,34,3.64,47,1.29,16,0.8
Anderson Silva,The Spider,34,11,0,187.96,195.58,Southpaw,4/14/1975,49,3.05,61,0.5,77,0.8
Carlston Harris,Mocambique,19,5,0,182.88,193.04,Orthodox,7/9/1987,37,2.93,49,2.05,29,0.8
Jorge Santiago,The Sandman,25,12,0,185.42,190.5,Orthodox,10/9/1980,44,1.69,35,0.58,30,0.8
Gleison Tibau,,33,14,0,177.8,180.34,Southpaw,10/7/1983,41,1.95,31,4.08,53,0.8
Josh Shockley,,11,4,0,185.42,,Orthodox,11/15/1989,34,1.4,33,0,0,0.8
Mark Coleman,The Hammer,16,10,0,185.42,190.5,Orthodox,12/20/1964,59,1.88,52,3.89,40,0.8
Sarah Moras,Cheesecake,6,8,0,170.18,170.18,Orthodox,4/30/1988,36,2.28,34,0.67,21,0.8
Jimmy Ambriz,The Titan,17,21,1,187.96,,Southpaw,1/26/1970,54,0.83,29,3.13,57,0.8
Chris Cariaso,Kamikaze,17,8,0,160.02,162.56,Southpaw,5/27/1981,43,3.35,43,1.11,39,0.8
Rogerio Nogueira,Minotouro,23,10,0,187.96,190.5,Southpaw,6/2/1976,48,2.43,35,0.64,44,0.8
Russell Doane,,15,8,0,170.18,177.8,Orthodox,8/13/1986,38,1.75,40,2.11,45,0.8
Rony Jason,,14,7,0,170.18,185.42,Orthodox,3/21/1984,40,2.04,44,0.59,30,0.8
Maki Pitolo,Coconut Bombz,13,9,0,177.8,190.5,Orthodox,11/24/1990,33,4.1,44,2.24,52,0.8
Joanderson Brito,Tubarao,16,3,1,172.72,182.88,Orthodox,2/11/1995,29,3.32,51,3.4,75,0.8
Zhang Lipeng,The Warrior,23,9,1,180.34,180.34,Southpaw,3/10/1990,34,1.28,48,1.75,30,0.8
Francisco Prado,,12,1,0,177.8,175.26,Orthodox,6/16/2002,22,3.46,50,0,0,0.8
Amanda Lemos,,13,3,1,162.56,165.1,Southpaw,5/22/1987,37,3.54,55,0.82,55,0.8
Jamie Varner,,21,11,1,172.72,180.34,Orthodox,10/12/1984,40,2.92,34,3.49,53,0.8
Seth Baczynski,The Polish Pistola,20,14,0,190.5,190.5,Orthodox,10/26/1981,43,3.08,31,0.89,16,0.8
Jonathan Pearce,JSP,14,5,0,182.88,180.34,Switch,5/1/1992,32,5.6,56,5.29,53,0.8
Kenny Robertson,,15,5,0,177.8,187.96,Orthodox,2/14/1984,40,3.72,47,1.37,26,0.8
Montserrat Conejo Ruiz,,10,4,0,152.4,154.94,Southpaw,2/3/1993,31,0.79,27,2.05,83,0.8
Khabib Nurmagomedov,The Eagle,29,0,0,177.8,177.8,Orthodox,9/20/1988,36,4.1,48,5.32,48,0.8
Gary Goodridge,Big Daddy,23,22,1,190.5,,Orthodox,1/17/1966,58,1.84,56,0.4,100,0.8
Justin Buchholz,,15,10,0,182.88,185.42,Orthodox,8/22/1983,41,2.35,26,0,0,0.8
Malcolm Gordon,X,14,7,0,170.18,180.34,Switch,5/19/1990,34,1.93,42,1.61,30,0.8
Achmed Labasanov,,7,4,0,190.5,,Orthodox,4/24/1978,46,0.75,39,3,100,0.8
Joseph Gigliotti,Capo,7,2,0,180.34,,Orthodox,8/13/1993,31,1.04,39,1.56,100,0.8
Liang Na,The Dragon Girl,19,7,0,165.1,170.18,Orthodox,7/27/1996,28,1.93,40,5.1,60,0.8
Mike Stumpf,,11,4,0,177.8,,,,,3.34,43,1.59,25,0.8
Aljamain Sterling,Funk Master,23,4,0,170.18,180.34,Orthodox,7/31/1989,35,4.73,52,1.97,24,0.8
Kevin Randleman,The Monster,17,16,0,177.8,,Orthodox,8/10/1971,53,1.26,54,2,56,0.8
Rory Singer,Outburst,11,9,0,187.96,195.58,Orthodox,5/28/1976,48,2.55,39,0.39,25,0.8
Darrion Caldwell,The Wolf,10,1,0,177.8,,,,,0.85,34,3.41,66,0.8
Alex Andrade,El Toro,10,5,0,180.34,,Orthodox,5/14/1974,50,0.2,36,0,0,0.8
Antonio Silva,Bigfoot,19,12,1,193.04,208.28,Orthodox,9/14/1979,45,2.89,45,0.82,29,0.8
Nate Marquardt,The Great,35,19,2,182.88,187.96,Orthodox,4/20/1979,45,2.71,49,1.87,51,0.8
Kevin Burns,The Fire,12,7,0,177.8,187.96,Orthodox,3/3/1980,44,2.74,38,0.28,50,0.8
Vinny Magalhaes,Pezao,14,9,0,190.5,190.5,Orthodox,7/2/1984,40,2.14,24,1.55,44,0.8
Frank Trigg,Twinkle Toes,21,9,0,175.26,180.34,Southpaw,5/7/1972,52,2.79,46,2.35,47,0.8
Montana De La Rosa,,12,9,1,170.18,172.72,Orthodox,2/14/1995,29,2.7,36,1.71,31,0.8
Cynthia Calvillo,,9,6,1,162.56,162.56,Orthodox,7/13/1987,37,4.41,38,1.8,44,0.8
Brock Jardine,The Machine,12,6,0,180.34,,Orthodox,7/10/1985,39,1.06,30,0,0,0.8
Cameron Saaiman,MSP,9,1,0,172.72,170.18,Southpaw,12/20/2000,23,5.28,46,1,36,0.8
Cat Zingano,Alpha,10,4,0,167.64,172.72,Southpaw,7/1/1982,42,2.57,61,2.77,65,0.8
Trey Waters,The Truth,8,1,0,195.58,195.58,Orthodox,2/21/1995,29,6.45,45,0.78,50,0.8
Sangwook Kim,Frogman,9,3,0,182.88,182.88,Orthodox,10/17/1993,31,5.57,51,1.65,18,0.8
Efrain Escudero,Hecho En Mexico,28,12,0,175.26,180.34,Orthodox,1/15/1986,38,2.92,44,1.31,40,0.8
John Allan,,13,7,0,185.42,190.5,Orthodox,2/22/1993,31,3.56,42,1.4,71,0.8
Royce Gracie,,15,2,3,185.42,,Southpaw,12/12/1966,57,0.88,41,0,0,0.8
James Head,,9,4,0,185.42,185.42,Orthodox,2/9/1984,40,2.75,48,0.41,100,0.8
Jessica Rakoczy,The Ragin',1,5,0,170.18,,Orthodox,4/14/1977,47,2.5,44,0.75,20,0.8
Kevin Lee,The Motown Phenom,18,8,0,175.26,195.58,Orthodox,9/4/1992,32,3.88,42,3.18,43,0.8
Naoyuki Kotani,,34,14,7,172.72,167.64,Southpaw,12/8/1981,42,1.02,31,0.83,16,0.8
Joseph Holmes,Uglyman Joe,8,4,0,193.04,203.2,Orthodox,7/4/1995,29,2.88,53,1.49,40,0.8
Dashon Johnson,Flyboy,9,2,0,170.18,,Orthodox,1/25/1988,36,1.01,69,0.85,33,0.8
Domingo Pilarte,Son of Fire,8,3,0,182.88,185.42,Southpaw,1/5/1990,34,1.31,47,1.2,42,0.8
Takanori Gomi,The Fireball Kid,35,14,0,170.18,177.8,Southpaw,9/22/1978,46,3.81,41,1.23,65,0.8
TJ Dillashaw,,18,5,0,167.64,170.18,Orthodox,2/7/1986,38,5.09,41,1.56,30,0.8
Denise Gomes,Dee,8,3,0,157.48,160.02,Orthodox,12/30/1999,24,4.81,48,1.13,33,0.8
Derrick Krantz,D-Rock,22,12,0,177.8,182.88,Orthodox,1/13/1988,36,2.07,37,3.18,50,0.8
Mark Vorgeas,,5,3,1,177.8,,,,,3.87,32,0,0,0.8
Gregor Gillespie,The Gift,14,1,0,170.18,180.34,Orthodox,11/13/1986,37,3.74,52,6.86,48,0.8
Tim Boetsch,The Barbarian,21,13,0,182.88,187.96,Orthodox,1/28/1981,43,2.93,50,1.45,34,0.8
Mike Kyle,MAK,22,14,1,193.04,195.58,Orthodox,3/31/1980,44,3.93,51,1.33,62,0.8
Marion Reneau,The Belizean Bruiser,9,8,1,167.64,172.72,Orthodox,6/20/1977,47,3.2,41,0.62,63,0.8
Justin Haskins,,7,6,0,177.8,,Orthodox,8/30/1979,45,1.51,33,1.62,40,0.8
Kleydson Rodrigues,KR,8,3,0,165.1,170.18,Orthodox,10/22/1995,29,5.48,62,0.85,25,0.8
Jenel Lausa,,7,5,0,165.1,172.72,Orthodox,8/1/1988,36,1.44,42,0.55,66,0.8
Rachael Ostovich,,4,6,0,160.02,157.48,Orthodox,2/25/1991,33,2.54,43,2.03,83,0.8
