name,nickname,wins,losses,draws,height_cm,reach_in_cm,stance,date_of_birth,,significant_strikes_landed_per_minute y,significant_striking_accuracy y,average_takedowns_landed_per_15_minutes y,takedown_accuracy,average_submissions_attempted_per_15_minutes
Nick Garcia,Nitro,8,3,0,162.56,,,,,0.67,25,0,0,5.1
Justin Levens,The Executioner,10,7,0,180.34,,Orthodox,4/18/1980,44,1.24,47,1.69,50,5.1
Mike Ciesnolevicz,,19,4,0,182.88,,Orthodox,10/28/1979,45,0.51,50,0,0,5.1
Magno Almeida,,10,3,0,182.88,,,,,1.67,36,0,0,5
George Pacurariu,Constantine,10,5,0,170.18,,,,,4.69,53,5.03,100,5
Ronaldo Candido,Pacman,6,0,0,167.64,,Southpaw,4/24/1989,35,1.67,42,8,53,5
Alex Schoenauer,,15,10,0,190.5,,Orthodox,5/5/1976,48,1.22,40,0,0,4.9
Justin Guthrie,,18,9,0,185.42,,,,,0.16,33,2.44,25,4.9
Billy Pasulatan,,10,3,0,165.1,167.64,Switch,8/7/1991,33,0.65,20,0,0,4.9
Aaron Ely,The Cyborg,5,2,0,172.72,,,,,0.82,15,2.47,100,4.9
Shohei Nose,,10,4,2,167.64,172.72,Switch,10/19/1997,27,2.48,40,3.23,17,4.8
TJ Waldburger,,16,9,0,180.34,190.5,Orthodox,4/25/1988,36,2.02,51,3.03,46,4.8
Ronda Rousey,Rowdy,12,2,0,170.18,167.64,Orthodox,2/1/1987,37,4.17,52,6.26,68,4.8
Nik Theotikos,,6,2,0,,,Orthodox,,,0,0,0,0,4.8
Valentijn Overeem,,30,32,0,190.5,,Orthodox,8/17/1976,48,0.93,34,1.86,50,4.7
Keith Rockel,Rock,12,4,1,182.88,,Orthodox,,124,1.13,73,4.63,75,4.6
Mark Hughes,,6,2,0,175.26,,Southpaw,10/13/1973,51,0.9,47,3,50,4.5
Jimmy Flick,The Brick,16,7,0,170.18,172.72,Orthodox,9/7/1990,34,1.99,50,1.66,27,4.4
Kaline Medeiros,The Dark Angel,8,5,0,160.02,,,,,2.06,70,4.41,100,4.4
Takeru Uchida,,6,1,0,165.1,172.72,Southpaw,9/30/2002,22,0,0,0,0,4.4
Joe Pearson,The Triangular Strangler,45,30,1,177.8,,Orthodox,3/28/1978,46,0.59,18,0,0,4.4
Jordan Bailey,,6,3,0,175.26,,,,,1.74,40,4.35,100,4.3
Branden Lee Hinkle,The Iron Lion,17,11,0,190.5,,Orthodox,7/29/1973,51,2.61,69,4.34,57,4.3
Goiti Yamauchi,,21,3,0,177.8,,,,,1.66,54,0,0,4.3
Masakatsu Okuda,,8,5,0,,,,,,0,0,0,0,4.3
Wayne Cole,,16,25,0,185.42,,Orthodox,,,0.57,20,4.31,25,4.3
Jason Glaza,,3,2,0,182.88,,,,,4.34,54,4.34,100,4.3
Bret Bergmark,The Angry Hick,6,1,1,175.26,,,,,2.78,52,4.17,100,4.2
Genki Sudo,Neo-Samurai,15,4,2,175.26,,Orthodox,3/8/1978,46,1.55,39,3.58,60,4.2
Yasuhito Namekawa,,25,16,4,175.26,,Orthodox,10/27/1974,50,0.14,50,2.11,25,4.2
Sean McCorkle,,17,7,0,200.66,205.74,Orthodox,7/17/1976,48,0.85,44,2.12,40,4.2
Jeremy Lang,,21,2,0,180.34,,Southpaw,5/11/1975,49,1.13,50,4.22,60,4.2
Rene Kronvold,,5,1,0,172.72,,Orthodox,,,0.82,100,0,0,4.1
Victor Hugo,Striker,24,4,0,170.18,180.34,Orthodox,11/22/1992,31,1.24,34,2.06,50,4.1
Kain Royer,,2,2,0,,,,,,0,0,0,0,4.1
Rousimar Palhares,Toquinho,19,8,0,172.72,180.34,Orthodox,2/26/1980,44,1.75,51,3.93,45,4.1
Clay Mitchell,,1,2,0,187.96,,,,,1.63,85,0,0,4.1
Karine Silva,Killer,17,4,0,165.1,170.18,Orthodox,12/2/1993,30,3.37,35,2.45,60,4.1
Dustin Hazelett,McLovin,12,7,0,185.42,193.04,Orthodox,4/29/1986,38,2.24,40,0.55,50,4.1
HanSeul Kim,Spade,13,5,0,185.42,187.96,Southpaw,6/19/1990,34,6.93,45,0,0,4
Shinya Aoki,Tobikan Judan,39,7,0,180.34,,Southpaw,5/9/1983,41,0.97,58,2.54,41,4
Marcus Hicks,The Wrecking Ball,10,4,0,167.64,162.56,Southpaw,11/25/1975,48,1.42,43,2.7,53,4
Dan Evensen,The Viking,11,4,0,190.5,,Orthodox,6/1/1974,50,0.27,10,0,0,4
Ralph Gracie,,6,1,0,175.26,,Orthodox,,,0.86,37,0,0,4
Charlie Kohler,,8,4,1,175.26,,Orthodox,7/16/1976,48,0.81,33,0,0,4
Alberto Crane,,15,5,0,165.1,,Orthodox,7/14/1976,48,0.43,25,0,0,4
Mike Hayes,,20,12,2,193.04,,Orthodox,,,4.87,55,0,0,4
Bruno Carvalho,,10,5,0,172.72,,,,,0.6,45,0,0,4
Steve Byrnes,The Sergeant,6,1,0,182.88,,Orthodox,,,1.2,51,3,60,4
Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,187.96,Southpaw,8/24/1990,34,6.03,64,5.77,60,3.9
Torrez Finney,The Punisher,7,0,0,172.72,190.5,Orthodox,10/24/1998,26,0.91,58,13.61,63,3.9
Bill Mahood,The Butcher,20,7,1,190.5,,Orthodox,2/1/1967,57,1.54,85,0,0,3.9
Marius Enache,,3,3,0,180.34,,,,,1.71,34,3.94,100,3.9
Abongo Humphrey,,7,3,0,180.34,,Orthodox,,,1.45,40,1.41,37,3.8
Antonio Trocoli,Malvado,12,3,0,195.58,208.28,Orthodox,12/6/1990,33,1.27,71,3.8,100,3.8
Hector Urbina,El Toro,17,10,1,180.34,185.42,Orthodox,9/17/1987,37,0.97,38,0,0,3.8
Gabriel Bonfim,Marretinha,15,1,0,185.42,182.88,Orthodox,8/20/1997,27,4.87,40,4.75,71,3.8
James Wilks,Lightning,7,4,0,185.42,190.5,Orthodox,5/4/1978,46,1.82,45,1.27,22,3.8
Assu Almabayev,Zulfikar,18,2,0,162.56,165.1,Orthodox,1/25/1994,,3.18,65,3.67,40,3.7
Nyamjargal Tumendemberel,Art of Knockout,8,0,0,170.18,180.34,Orthodox,3/22/1998,26,4.43,44,4.68,38,3.7
Jaqueline Amorim,,7,1,0,160.02,172.72,Orthodox,6/24/1995,29,3.42,52,1.57,23,3.7
HyunSung Park,Peace of Mind,8,0,0,170.18,167.64,Orthodox,11/4/1995,28,3.51,48,2.23,30,3.7
Igor Gracie,,5,4,0,180.34,,,,,1.86,60,3.72,50,3.7
Brady Fink,,2,3,0,182.88,,Orthodox,,,1.69,41,3.63,25,3.6
Tatsuya Mizuno,,16,12,1,185.42,,Southpaw,6/2/1981,43,2.25,37,1.19,25,3.6
Per Eklund,,14,5,1,177.8,182.88,Orthodox,,,2.07,61,2.07,11,3.6
Daisuke Nakamura,,28,19,1,170.18,,Orthodox,6/10/1980,44,0.94,30,0.46,40,3.6
Brennan Ward,The Irish Bad Boy,14,5,0,177.8,180.34,,,,7.2,60,0,0,3.6
Ken Kaneko,,0,3,0,182.88,,Orthodox,,,0,0,0,0,3.5
Rolando Delgado,Roli,11,6,1,190.5,195.58,Orthodox,11/22/1981,42,1.56,40,1.17,22,3.5
Mike King,,5,1,0,190.5,,,,,4.44,58,1.75,25,3.5
Kit Cope,Havoc,6,7,0,182.88,,Orthodox,3/17/1977,47,1.18,52,0,0,3.5
